,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,106.22234997788037,,,,,,,,,,,,,,106.22234997788037
2020-03-30,110.29917734763106,,,,,,,,,,,,,,110.29917734763106
2020-03-31,114.9566959785873,,,,,,,,,,,,,,114.9566959785873
2020-04-01,119.92629618066809,,,,,,,,,,,,,,119.92629618066809
2020-04-02,125.52667423462582,,,,,,,,,,,,,,125.52667423462582
2020-04-03,131.48044536108372,,,,,,,,,,,,,,131.48044536108372
2020-04-04,137.6780216413898,,,,,,,,,,,,,,137.6780216413898
2020-04-05,144.52679499379119,246.0960565294368,,,,,,,,,,,,,144.52679499379119
2020-04-06,151.7810302849681,256.94857771291265,,,,,,,,,,,,,150.90024171361856
2020-04-07,159.41307281217078,268.3025550780518,,,,,,,,,,,,,157.5681826069312
2020-04-08,167.67927062174817,280.65301292466756,,,,,,,,,,,,,164.82133454463315
2020-04-09,176.54464542171013,293.8552879338032,,,,,,,,,,,,,172.57473994497025
2020-04-10,185.8670877769527,307.6937342159663,,,,,,,,,,,,,180.70175472554047
2020-04-11,196.0012709662599,322.76369403475405,,,,,,,,,,,,,189.5520102883885
2020-04-12,206.81670634614403,338.70495216072163,243.7914982897465,,,,,,,,,,,,198.91396016115795
2020-04-13,218.38215351499198,355.9343734783498,253.61655678899325,,,,,,,,,,,,206.93040580676237
2020-04-14,230.6727932935952,374.13062675847925,263.754352588511,,,,,,,,,,,,215.2020195584058
2020-04-15,243.7108727663047,393.4224200169983,274.4783007534363,,,,,,,,,,,,223.95188578841288
2020-04-16,257.77585984218155,414.2575252544696,286.03462560194174,,,,,,,,,,,,233.3809034393606
2020-04-17,272.9082782212461,436.1723567950209,298.4495983378509,,,,,,,,,,,,243.51050766886277
2020-04-18,288.70259546336104,459.58826210390083,311.23833772170445,,,,,,,,,,,,253.9450749698435
2020-04-19,305.7861374007361,484.4733410930055,324.90732861878826,113.55234471889574,,,,,,,,,,,265.09785564439466
2020-04-20,323.9300779554352,511.1781816208962,339.83005691134406,116.03555099169549,,,,,,,,,,,270.89511733609777
2020-04-21,343.49669297461566,539.4282503008924,355.6747341543292,118.70983398297136,,,,,,,,,,,277.1384642976118
2020-04-22,364.07412725919136,569.3967482329775,371.81195658335264,121.50770738957705,,,,,,,,,,,283.670343866385
2020-04-23,386.21342119433456,601.3389151631285,389.439202810874,124.52631747622223,,,,,,,,,,,290.71755247292833
2020-04-24,409.6482243279963,635.2748804019208,407.91130774042716,127.78800121960519,,,,,,,,,,,298.3322377381382
2020-04-25,434.82888049735465,671.1083417581876,427.7388068574234,131.21450499451623,,,,,,,,,,,306.33170974670855
2020-04-26,,708.7952687083607,447.88403769108396,134.83038624118018,79.46363284075683,,,,,,,,,,314.77329998536334
2020-04-27,,749.1274385715144,469.8088518041992,138.6277888245568,80.3279692403794,,,,,,,,,,318.1971306243663
2020-04-28,,791.9417723485955,493.2073654856488,142.90214502410586,81.53765178839022,,,,,,,,,,322.98895493392354
2020-04-29,,836.777858240993,517.6521636575782,147.14466883133082,82.54858147184555,,,,,,,,,,326.9934745001518
2020-04-30,,884.3593776705549,543.4022669849874,151.85983493368946,83.87027969001453,,,,,,,,,,332.2290180418314
2020-05-01,,934.347323761459,570.3504235852826,156.75488377528225,85.17078923108556,,,,,,,,,,337.3806284738103
2020-05-02,,986.6612300887898,598.8278110669996,161.85004228286337,86.57177387753151,,,,,,,,,,342.93024336839176
2020-05-03,,,629.066746440706,167.5060793793447,88.19453624464802,43.408151282992925,,,,,,,,,349.3583696335596
2020-05-04,,,660.9403102062088,173.18627315018705,89.76948705030534,43.11489024201847,,,,,,,,,346.9981401346356
2020-05-05,,,694.2470601336453,179.43150061784215,91.653877945567,43.00393480907311,,,,,,,,,346.10514635328184
2020-05-06,,,728.9256141134987,185.86779380519832,93.4533089446171,42.66418920238237,,,,,,,,,343.37079882325594
2020-05-07,,,765.9085556256921,192.71778364338886,95.4885990675245,42.554965958615696,,,,,,,,,342.4917460822247
2020-05-08,,,803.9727670947434,199.88120871675181,97.69261843277418,42.511641686455405,,,,,,,,,342.1430627902594
2020-05-09,,,843.6495526697594,207.32466246683828,99.83842896996315,42.388493067200336,,,,,,,,,341.1519355578396
2020-05-10,,,,215.35630990802105,102.31250269946035,42.4178019799332,17.79822082680014,,,,,,,,341.3878201478405
2020-05-11,,,,223.4582131251688,104.59800040861643,42.19433893280148,17.056112258911227,,,,,,,,327.15342960004216
2020-05-12,,,,232.17872853543545,107.28763932115015,42.280645056097704,16.53357238842676,,,,,,,,317.1305880440809
2020-05-13,,,,241.29051885651768,110.06986675560222,42.40656834628102,16.046210965874252,,,,,,,,307.78250458740075
2020-05-14,,,,250.85886162654805,113.02164110575696,42.51071374956192,15.579474370183027,,,,,,,,298.8300261044771
2020-05-15,,,,260.7586760209251,115.9887148065226,42.61071828650464,15.07347088757954,,,,,,,,289.1243691405458
2020-05-16,,,,271.1459978506043,119.19580557877069,42.822219357432644,14.588278663137038,,,,,,,,279.8178930906649
2020-05-17,,,,,122.5110320287083,42.938047870931186,14.079541143807454,12.25983998106167,,,,,,,270.05979454579074
2020-05-18,,,,,126.03140167379331,43.20248175207324,13.638719932403705,11.881929310035165,,,,,,,261.7351770685859
2020-05-19,,,,,129.62637005139297,43.4355057862804,13.221973301017306,11.636366754345215,,,,,,,256.3259243018117
